"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 16:05:49 MSK 2025","Sun Jun 29 16:05:49 MSK 2025","263","","UserHttpTest","","UserHttpTest","createUserWithoutEmailError403","Создание курьера без поля email","Проверяем, что код ответа 403 и сообщение ошибки"
"passed","Sun Jun 29 16:06:07 MSK 2025","Sun Jun 29 16:06:08 MSK 2025","1330","","OrderHttpTest","","OrderHttpTest","createOrderWithoutIngredients","Создаем заказ с авторизацией, но без ингредиентов","Проверяем, что код ответа 400 и сообщение ошибки"
"passed","Sun Jun 29 16:06:05 MSK 2025","Sun Jun 29 16:06:07 MSK 2025","1315","","OrderHttpTest","","OrderHttpTest","createOrderNotAuthorizedUser","Создаем заказ без авторизации","Проверяем, что код ответа 200"
"passed","Sun Jun 29 16:05:51 MSK 2025","Sun Jun 29 16:05:51 MSK 2025","223","","UserHttpTest","","UserHttpTest","loginUnrealUserError401","Авторизация под не существующим пользователем","Проверяем, что код ответа 401 и сообщение ошибки"
"passed","Sun Jun 29 16:05:45 MSK 2025","Sun Jun 29 16:05:46 MSK 2025","1299","","UserHttpTest","","UserHttpTest","changeNoAuthUserError401","Измененние данных не авторизованным пользователем","Проверяем, что код ответа 401 и сообщение ошибки"
"passed","Sun Jun 29 16:05:51 MSK 2025","Sun Jun 29 16:05:52 MSK 2025","988","","UserHttpTest","","UserHttpTest","createUser","Создание курьера со всеми обязательными полями","Проверяем, что код ответа 200 и токен не null"
"passed","Sun Jun 29 16:05:53 MSK 2025","Sun Jun 29 16:05:58 MSK 2025","4217","","OrderHttpTest","","OrderHttpTest","getOrdersAuthorizedUser","Получение списка заказов конкретного авторизованного пользователя","Проверяем, что код ответа 200 и проверяем список ингредиентов в заказе"
"passed","Sun Jun 29 16:06:01 MSK 2025","Sun Jun 29 16:06:05 MSK 2025","3783","","OrderHttpTest","","OrderHttpTest","getOrdersUnAuthorizedUser","Получение списка заказов конкретного Не авторизованного пользователя","Проверяем, что код ответа 401 и проверяем текст ошибки"
"passed","Sun Jun 29 16:05:52 MSK 2025","Sun Jun 29 16:05:53 MSK 2025","1657","","OrderHttpTest","","OrderHttpTest","createOrderWithoutWrongHashIngredients","Создаем заказ с неверным хешем ингредиента","Проверяем, что код ответа 500"
"passed","Sun Jun 29 16:05:46 MSK 2025","Sun Jun 29 16:05:47 MSK 2025","1186","","UserHttpTest","","UserHttpTest","loginRealUserOk200","Авторизация под существующим пользователем","Проверяем, что ответ возвращается с кодом 200"
"passed","Sun Jun 29 16:05:39 MSK 2025","Sun Jun 29 16:05:45 MSK 2025","6031","","UserHttpTest","","UserHttpTest","createUserWithoutNameError403","Создание курьера без поля name","Проверяем, что код ответа 403 и сообщение ошибки"
"passed","Sun Jun 29 16:05:58 MSK 2025","Sun Jun 29 16:06:01 MSK 2025","3783","","OrderHttpTest","","OrderHttpTest","createOrderAuthorizedUser","Создаем заказ с авторизацией и ингредиентами","Проверяем, что код ответа 200 и сверяем список ингредиентов"
"passed","Sun Jun 29 16:05:47 MSK 2025","Sun Jun 29 16:05:49 MSK 2025","1163","","UserHttpTest","","UserHttpTest","createUserDuplicateError403","Создание курьера, который уже существует","Проверяем, что код ответа 403 и сообщение ошибки"
"passed","Sun Jun 29 16:05:49 MSK 2025","Sun Jun 29 16:05:51 MSK 2025","1571","","UserHttpTest","","UserHttpTest","changeAuthUser","Измененние данных авторизованным пользователем","Проверяем, что код ответа 200 и данные изменились"
"passed","Sun Jun 29 16:05:45 MSK 2025","Sun Jun 29 16:05:45 MSK 2025","266","","UserHttpTest","","UserHttpTest","createUserWithoutPasswordError403","Создание курьера без поля password","Проверяем, что код ответа 403 и сообщение ошибки"
